Sample m1 m2 m3 m4 m5 m6 m7 m8 m9  m10
7bf0 0.000236000000000125 0.00022300000000008424 0.00026500000000018176 0.0002140000000001585 0.00021599999999999397 0.0002679999999997129 0.00021300000000001873 0.00019499999999972317 0.0002140000000001585 0.00023300000000014975
8219 0.0003269999999999662 0.0002939999999997944 0.0002729999999999677 0.0003009999999998847 0.00023300000000014975 0.0002990000000000492 0.00026600000000032153 0.00038800000000005497 0.0002310000000003143 0.0003059999999996954
c606 0.00030900000000011474 0.00015900000000002024 0.000360000000000138 0.00022099999999980469 0.00019700000000000273 0.000248000000000026 0.00021399999999971442 0.00021200000000032304 0.000284000000000173 0.00014399999999969992
e6ee 0.00021300000000001873 0.000236000000000125 0.00023799999999996047 0.00028799999999984394 0.0002830000000000332 0.00034599999999995745 0.00019999999999997797 0.000204000000000093 0.0006719999999997839 0.0002260000000000595
072a 0.00033500000000019625 0.00046800000000057906 0.0005530000000000257 0.00024400000000035504 0.00026499999999973767 0.0003280000000005501 0.0003500000000000725 0.00045300000000025875 0.00045700000000081786 0.0003859999999997754
e0b2 0.0007060000000000954 0.0005229999999998292 0.0008119999999998129 0.0005990000000002382 0.0007170000000003007 0.0006450000000000067 0.0006410000000003357 0.0006330000000001057 0.0006930000000000547 0.0006150000000002542
9d61 0.000248000000000026 0.0002849999999998687 0.00023799999999996047 0.000236000000000125 0.00023499999999998522 0.00022199999999994446 0.00023900000000010024 0.00024500000000005073 0.00023999999999979593 0.000256000000000256
54a7 0.0002260000000000595 0.00022100000000024878 0.0002359999999996809 0.00023999999999979593 0.0002310000000003143 0.0002249999999999197 0.00022199999999994446 0.0002510000000000012 0.0002730000000004118 0.00022099999999980469
151e 0.00025999999999992696 0.00026100000000006673 0.00025399999999997647 0.0002249999999999197 0.0002579999999996474 0.00025399999999997647 0.00023399999999984544 0.0002310000000003143 0.00022399999999977993 0.00023300000000014975
0292 0.00022300000000008424 0.0002260000000000595 0.00021799999999982944 0.00020800000000020802 0.00021099999999973917 0.0002409999999999357 0.0002410000000003798 0.00023200000000000998 0.00024300000000021527 0.00023900000000010024
39b6 0.00022900000000003473 0.00016900000000008575 0.0002310000000003143 0.00027100000000013225 0.00021099999999973917 0.0002309999999998702 0.00032500000000013074 0.00013799999999974943 0.0002369999999998207 0.0001340000000000785
13c4 0.0002900000000001235 0.0003869999999999152 0.00025599999999981193 0.00034199999999984243 0.0004509999999999792 0.0002569999999999517 0.00023200000000000998 0.0002729999999999677 0.000284000000000173 0.0002580000000000915
