Sample m1 m2 m3 m4 m5 m6 m7 m8 m9  m10
7bf0 0.00022999999999995246 0.00025999999999992696 0.000228000000000117 0.00024999999999986144 0.00026100000000006673 0.00025199999999991896 0.00020599999999992846 0.0002089999999999037 0.0002140000000001585 0.00024299999999999322
8219 0.000250000000000028 0.00028000000000000247 0.00028000000000000247 0.0003009999999999957 0.0002869999999999817 0.0002989999999999937 0.00024099999999999122 0.00044800000000000395 0.00032200000000004447 0.00027199999999999447
c606 0.00023599999999990295 0.0001929999999998877 0.00026799999999993496 0.00028500000000009074 0.0002580000000000915 0.00022900000000003473 0.00022500000000014175 0.00016900000000008575 0.0002709999999999102 0.000288000000000066
e6ee 0.00023500000000001298 0.0002530000000000032 0.00021200000000001773 0.00022299999999997322 0.00021700000000002273 0.0002500000000000002 0.0002570000000000072 0.00023400000000001198 0.00021900000000002473 0.00021599999999999397
072a 0.000248000000000026 0.00020500000000001073 0.00027100000000013225 0.00024299999999999322 0.00022400000000000198 0.0002510000000000012 0.0002169999999999117 0.00028500000000009074 0.0002169999999999117 0.000236000000000125
e0b2 0.0002510000000000012 0.00021700000000000191 0.00024500000000000216 0.00024399999999999422 0.00027299999999999547 0.0002540000000000042 0.00023000000000000104 0.00020399999999999585 0.00027099999999999347 0.0001999999999999988
9d61 0.00024299999999999322 0.00021700000000013375 0.000236000000000125 0.00024299999999999322 0.0002609999999998447 0.0002409999999999357 0.0002260000000000595 0.00024700000000010824 0.00023499999999998522 0.00023799999999996047
54a7 0.00021899999999999697 0.00025499999999997747 0.00026499999999998747 0.00026199999999998447 0.0002650000000000152 0.0002689999999999637 0.000264000000000042 0.00023999999999996247 0.00023699999999998722 0.0002530000000000032
151e 0.00030700000000005723 0.0002220000000001665 0.00028399999999995096 0.00025199999999991896 0.00023499999999998522 0.000256000000000034 0.0002300000000001745 0.0002789999999999182 0.00024999999999986144 0.0002329999999999277
0292 0.00023300000000000404 0.0002370000000000011 0.0002500000000000002 0.00021800000000000985 0.00022000000000001185 0.0002420000000000061 0.0002279999999999921 0.0002349999999999991 0.0002349999999999991 0.00026199999999999835
39b6 0.0002549999999999497 0.00014500000000000624 0.00026799999999999047 0.00013099999999999223 0.0002590000000000092 0.00022599999999994846 0.00014500000000006175 0.00028200000000000447 0.00013900000000000023 0.0002289999999999237
13c4 0.0004899999999999904 0.00024900000000005473 0.00023200000000000998 0.00028599999999989745 0.0002929999999999877 0.00029800000000002047 0.00023899999999998922 0.0003830000000000222 0.00023700000000004273 0.0003589999999999982
dd26 0.00032799999999999496 0.0002560000000000062 0.0002440000000000081 0.00026699999999998947 0.00021399999999999197 0.00022800000000000598 0.00021200000000000385 0.0002540000000000042 0.0002309999999999951 0.00025899999999999535
