Sample m1 m2 m3 m4 m5 m6 m7 m8 m9  m10
e0b2 0.0004529999999999951 0.0002070000000000058 0.0001820000000000016 0.00017400000000000054 0.00017199999999999854 0.00013300000000000117 0.0001250000000000001 0.0001229999999999981 0.00012199999999999711 0.00011999999999999511
0292 0.0001419999999999963 0.0001250000000000001 0.00012199999999999711 0.00012099999999999611 0.00011800000000000005 0.00011800000000000005 0.00011800000000000005 0.00011800000000000005 0.00011800000000000005 0.00011800000000000005
dd26 0.00020499999999999685 0.00021799999999999597 0.00019500000000000073 0.00017199999999999854 0.00017199999999999854 0.00017199999999999854 0.00019299999999999873 0.00017000000000000348 0.00018699999999999967 0.00018299999999999567
e6ee 0.040847 0.038564 0.03836200000000001 0.038492 0.038093000000000016 0.03942999999999999 0.03958799999999996 0.039603 0.039390999999999954 0.039424000000000015
54a7 0.0008759999999999879 0.0006779999999999564 0.0005430000000000157 0.0004510000000000347 0.0004959999999999964 0.0004750000000000032 0.00047200000000002795 0.00043599999999999195 0.00046400000000001995 0.0004979999999999984
8219 0.00047600000000003195 0.0002809999999999757 0.0002630000000000132 0.0002469999999999972 0.000246000000000024 0.00019700000000000273 0.00018000000000001348 0.00017799999999995597 0.00017600000000000948 0.00017699999999998273
39b6 0.03684299999999996 0.03475399999999995 0.03470200000000001 0.03522099999999995 0.03479700000000008 0.03548499999999999 0.03550500000000001 0.03568299999999991 0.03590899999999997 0.03567699999999996
13c4 0.0005690000000000417 0.0002790000000000292 0.0002489999999999437 0.0002510000000000012 0.00016899999999997473 0.00017599999999995397 0.00017500000000003624 0.00017199999999994997 0.00021599999999999397 0.000184000000000073
c606 0.009535999999999989 0.008549000000000029 0.008430000000000049 0.008437999999999946 0.008464000000000027 0.008676999999999935 0.00863400000000003 0.008622999999999936 0.00860800000000006 0.008609000000000089
7bf0 0.0005650000000000377 0.0003690000000000637 0.00036000000000002697 0.00026599999999998847 0.0002629999999999022 0.00026500000000007073 0.000264000000000042 0.0002609999999999557 0.0002630000000000132 0.00026199999999998447
151e 0.00017900000000004024 0.00015700000000007375 0.00015799999999999148 0.00014700000000000824 0.00014599999999997948 0.00015299999999995872 0.0001500000000000945 0.000152000000000041 0.00014999999999998348 0.00014999999999998348
9d61 0.0010930000000000106 0.0007859999999999534 0.0007310000000000372 0.0007369999999999877 0.0007309999999999262 0.0007300000000000084 0.0007280000000000619 0.0007320000000000659 0.0007269999999999222 0.0007530000000000037
072a 0.042518999999999973 0.040397000000000016 0.04016699999999995 0.04061300000000001 0.04014399999999996 0.04146899999999998 0.04222500000000018 0.04127600000000009 0.041655 0.04152900000000015 
